"Classifier","Accuracy","AUC","Avg"
"Decision Tree",0.817409766454352,0.836508224479923,0.826958995467138
"Naïve Bayes",0.337579617834395,0.743136187711661,0.540357902773028
"Bagging",0.808917197452229,0.822266569908079,0.815591883680154
"Boosting",0.75796178343949,0.791747298822771,0.774854541131131
"Random Forest",0.81104033970276,0.838513949363006,0.824777144532883
"Simple Tree",0.75583864118896,0.772889453313982,0.764364047251471
