"Classifier","Accuracy","AUC","Avg","AvgIncrease"
"Prune - 2",0.656050955414013,0.708000725689405,0.682025840551709,0
"Prune 3",0.75583864118896,0.772889453313982,0.764364047251471,0.082338206699762
"Prune - 4",0.808917197452229,0.806291323980003,0.807604260716116,0.0432402134646456
