"Variable","AvgImportance"
"A01",55.071397116878
"A18",35.8755552188896
"A23",35.471798717826
"A22",29.0656151189212
"A24",11.4010091913171
"A12",10.7370506922014
"A08",10.7251494546773
"A14",5.96672542093192
"A17",4.25293540432774
"A20",2.88286462034912
